FORFAR W.W. (DEN OF OGIL),,,,,,,,,,
Grid ref,NO439620,Long,-2.918859,Lat,56.74624,Elevation,663,ft,,
Station no,5604/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.68,4.79,4.53,4.17,2.27,6.11
February,,,,,2.59,1.9,4.27,3.83,0.48,3.57
March,,,,,1.46,2.63,3.7,6.98,2.61,3.07
April,,,,,0.9,1.18,1.28,1.47,2.74,3.1
May,,,,,2.01,0.97,2.41,3.7,1.31,2.03
June,,,,,1.67,3.25,2.14,3.34,3.91,2.7
July,,,,,1.05,5.51,6.59,4.79,3.39,4.08
August,,,,,0.63,6.46,4.84,3.87,1.05,5.09
September,,,,3.4,1.63,4.84,2.95,3.87,0.73,2.32
October,,,,6.7,2.2,2.52,1.96,2.5,3.23,10.44
November,,,,7.16,2.54,0.99,1.94,1.19,7.6,4.74
December,,,,4.71,6.95,5.19,5.5,5.55,7.59,2.38
Total,,,,,25.31,40.23,42.11,45.26,36.91,49.63
