Rainfall at,GODLEY RESERVOIR (OLD G.)
,
Station no,2742,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.66,4.00,2.15,,,,,,,,
February,4.50,0.27,3.55,,,,,,,,
March,0.24,2.45,3.41,,,,,,,,
April,3.83,3.63,1.11,,,,,,,,
May,2.16,3.87,1.73,,,,,,,,
June,5.95,0.31,2.92,,,,,,,,
July,3.80,6.60,2.74,,,,,,,,
August,6.52,1.63,1.20,,,,,,,,
September,3.91,3.40,0.97,,,,,,,,
October,1.67,7.73,4.82,,,,,,,,
November,5.40,2.40,1.32,,,,,,,,
December,1.30,1.37,0.56,,,,,,,,
Total,44.94,37.66,26.48,,,,,,,,
Calc annual,44.94,37.66,26.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
