BISHOPS CASTLE WELSH STREET,,,,,,,,,,,,
Grid ref,SO319891,Long,-3.004507,Lat,52.495537,Elevation,740,ft,,,,
Station no,2274/2,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,2.43,4.15,1.51,5.79,,,,
February,,,,,2.92,2.36,3.24,3,,,,
March,,,,3.45,1.34,1.19,3.89,2.54,,,,
April,,,,1.4,1.2,1.67,2.77,2.21,,,,
May,,,,1.72,2.16,2.69,0.55,3.03,,,,
June,,,,1.48,0.33,3.14,1.37,1.87,,,,
July,,,,2.89,1.14,5.24,1.75,3.29,,,,
August,,,,3.76,3.64,3.04,2.83,4.44,,,,
September,,,,1.97,4.99,3.28,5.03,3.06,,,,
October,,,,3.98,3.4,6.39,3.74,3.64,,,,
November,,,,2.6,3.48,4.51,4.19,4.44,,,,
December,,,,1.26,3.64,1.82,6.7,2.2,,,,
Total,,,,,30.67,39.48,37.57,39.51,,,,
,,,,,,,,,,,,
NOTES,,,,,,,,,,,,
"NGR is on Welsh Street at correct altitude. The observer, E Griffiths moved to Castle Street in 1878, which is a separate record",,,,,,,,,,,,
