BRIGHSTONE-RECTORY-(THE-BUNGALOW),,,,,,,,,,
Grid ref,SZ428828,Long,-1.3956,Lat,50.6436,Elevation,140,ft,,
Station no,RR2884,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.96,1.69,5.13,,,,
February,,,,0.11,4.01,2.86,,,,
March,,,,3.17,1.13,2,,,,
April,,,,2.54,3.91,1.64,,,,
May,,,,0.85,1.03,0.34,,,,
June,,,,1.55,2.4,3.57,,,,
July,,,,0.63,0.32,4.6,,,,
August,,,,2.41,4.39,0.28,,,,
September,,,,2.22,3.95,2.82,,,,
October,,,,1.67,4,1.46,,,,
November,,,,4.77,8.65,5.84,,,,
December,,,,9.6,3.9,3,,,,
Total,,,,32.48,39.38,33.54,,,,
,,,,,,,,,,
,,,,,,,,,,
1933 Dec Gauge moved from the Rectory,,,,,,,,,,
The Bungalow was in North St. Found on 1977 OS map,,,,,,,,,,
