CLAPHAM-COMMON,,,,,,,,,,
Grid ref,SD729615,Long,-2.415392,Lat,54.048745,Elevation,1180,ft.,,
Station no,3069/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.3,7.03,5.2,8.12
February,,,,,,,5.24,10.5,1.58,9.42
March,,,,,,,5.82,1.8,4.1,1.94
April,,,,,,,1.29,1.95,4.5,5.2
May,,,,,,,3.55,6.9,1.2,2.19
June,,,,,,,2.31,4.8,3.52,3.19
July,,,,,,,7.47,5.39,5.24,10.83
August,,,,,,,8.2,6.15,0.98,4.75
September,,,,,,,8.85,7.26,0.57,4.3
October,,,,,,,9.6,6.41,8.32,4.25
November,,,,,,,2,2.5,8.15,13.05
December,,,,,,,7.8,6.4,14.11,9.45
Total,,,,,,,72.43,67.09,57.47,76.69
,,,,,,,,,,
NGR is from the 1950s record and is on Clapham Common at the stated altitude.,,,,,,,,,,
MIDAS src_id 12565 ends 1982,,,,,,,,,,
