OTLEY THORNS,,,,,,,,,,,,,,,,,,,,
Grid ref,SE203455,Long,-1.6925061,Lat,53.905267,Elevation,206,ft,,,,,,,,,,,,
Station no,RR2926,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.72,2.23,6.18,1.25,2.33,4.36,1.62,1.71,2.91,2.31,-999,4.13,,,,,,,
February,,4.57,0.71,0.94,2.01,1.98,3.76,2.61,2.87,3.73,2.48,-999,,,,,,,,
March,,4.59,4.36,1.01,2.37,1.08,2.52,2.28,3.01,2.23,1.3,1.96,,,,,,,,
April,1.13,1.12,2.85,0.8,1.82,0.92,1.56,1.52,1.36,1.72,0.78,2.72,,,,,,,,
May,3.6,0.63,3.56,1.19,2.26,1.41,0.87,2.98,1.43,5,1.12,1.34,,,,,,,,
June,5.18,1.51,2.6,3.16,1.12,0.71,3.21,1.44,0.36,0.78,1.72,4.3,,,,,,,,
July,2.08,2.67,2.62,1.27,0.51,1.39,2.94,2.13,0.72,0.25,0.63,1.7,,,,,,,,
August,4.07,1.26,2.4,4.1,1.35,4.19,2.74,2.16,3.04,1.59,1.53,1.93,4.12,,,,,,,
September,1.2,3.42,2.05,3.79,2.25,0.18,5.82,2.57,3.56,4.11,0.92,3.2,4.19,,,,,,,
October,2.54,1.13,4.43,4.2,2.18,6.42,1.84,2.14,3.06,2.46,8.11,4.68,5.05,,,,,,,
November,3.54,2.93,1.07,2.87,3.64,3.73,5.04,0.83,1.93,1.78,2.49,1.65,4.91,,,,,,,
December,2.57,1.74,2.27,2.19,1.43,0.47,3.32,2.9,7.85,5.57,2.87,1.69,4.25,,,,,,,
Total,,27.29,31.15,31.7,22.19,24.81,37.98,25.18,30.9,32.13,26.26,29.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1871 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
"Observer, AH Thorns, was Head Postmaster in Otley in 1871, near the old Cattle Market",,,,,,,,,,,,,,,,,,,,
