HUNCOAT BURNLEY ROAD RESERVOIR NEW GAUGE 2,,,,,,,,,,,,,
Grid ref,SD772296,Long,-2.346576,Lat,53.7627,Elevation,613,ft.,,,,,
Station no,2962/1/1,,Long,-2.343542,Lat,53.762709,,,,,,,
,,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,
January,,,,,,,,,,5.73,,,
February,,,,,,,,,,4.56,,,
March,,,,,,,,,2.2,1.14,,,
April,,,,,,,,,3.52,3.24,,,
May,,,,,,,,,1.73,2.03,,,
June,,,,,,,,,3.14,1.41,,,
July,,,,,,,,,4.04,9.47,,,
August,,,,,,,,,0.69,6.5,,,
September,,,,,,,,,0.4,3.36,,,
October,,,,,,,,,5.48,4.8,,,
November,,,,,,,,,5.77,8.11,,,
December,,,,,,,,,9.21,5.54,,,
Total,,,,,,,,,,55.89,,,
,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,
This gauge replaced the old gauge in 1959 at a location 530 ft. West of the existing gauge. They overlapped for 10 months and there is good agreement between tha gauges,,,,,,,,,,,,,
The Grid Reference on the 1950s sheet is clear and consistent with that for the Old Gauge,,,,,,,,,,,,,
