"BARRA ISLE CASTLE BAY",,,,,,,,,,,,
Grid ref,NL664983,Long,-7.489832,Lat,56.955181,,,,,,,
Station no,5764,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.96,3.32,,
February,,,,,,,,,2.53,1.95,,
March,,,,,,,,,3.58,2.26,,
April,,,,,,,,,2.10,3.36,,
May,,,,,,,,,2.60,2.96,,
June,,,,,,,,,2.57,0.97,,
July,,,,,,,,,2.96,2.75,,
August,,,,,,,,6.47,3.36,2.10,,
September,,,,,,,,1.19,5.83,2.22,,
October,,,,,,,,2.68,2.26,4.90,,
November,,,,,,,,4.40,3.40,2.27,,
December,,,,,,,,4.13,6.46,5.18,,
Total,,,,,,,,,41.61,34.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.87,41.61,34.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
