LOWTHORPE WOODMAN'S COTTAGE,,,,,,,,
Grid ref,TA084608,Long,-0.347,Lat,54.032,Elevation,51,ft
Station no,3403,,,,,,,
,,,,,,,,
,1955,1956,1957,1958,1959,1960,,
January,,4.90,1.39,2.66,2.33,5.58,,
February,,1.83,2.51,4.06,0.31,1.92,,
March,2.48,0.91,1.36,1.91,1.15,1.31,,
April,0.71,1.08,0.67,0.99,2.50,0.72,,
May,3.19,0.48,0.92,1.63,0.68,1.41,,
June,1.22,2.33,1.66,3.44,1.06,0.52,,
July,1.39,3.89,3.47,3.83,1.23,3.12,,
August,0.53,5.65,3.84,1.53,0.25,4.21,,
September,1.30,1.44,2.61,2.00,0.18,2.45,,
October,2.01,1.58,2.19,2.02,2.04,7.96,,
November,1.20,1.45,2.68,0.61,3.48,4.62,,
December,3.43,2.28,2.06,3.33,4.73,2.99,,
Total,,27.82,25.36,28.01,19.94,36.81,,
,,,,,,,,
TYRain_1951-1960_20_pt1/213,,,,,,,,
,,,,,,,,
# The gauge came from the The Elms in February 1955.,,,,,,,,
#,,,,,,,,
# The grid reference puts the gauge near the Keeper's Lodge.,,,,,,,,
#,,,,,,,,
# The station continued until 1975 according to MIDAS.,,,,,,,,
