TOTTENHAM-LORDSHIP-LANE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ334906,Long,-0.075379867,Lat,51.598454,Elevation,60,ft.,,,,,,,,,,,,
Station no,RR2093,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,3.51,3.94,2.62,1.65,0.51,2.49,3.04,0.89,0.82,2.48,0.48,1.97,2.81,1.01,,,,,
February,,1,1.24,0.78,0.99,1.39,1.08,0.48,1.45,1.07,1.49,1.77,0.35,0.5,1.06,,,,,
March,,4.68,0.32,1.51,0.38,1.61,1.21,0.9,0.9,1.79,2.07,2.14,3.31,0.85,2.8,,,,,
April,1.93,2,0.73,2.93,0.29,0.25,2.09,1.82,2.92,2.49,1.47,0.84,2.04,0.63,0.73,,,,,
May,1.82,0.72,1.87,1.75,3.14,2.06,3.76,1.72,2.17,2.34,3.88,1.25,2.96,1.26,1.84,,,,,
June,0.55,1.17,5.28,3.79,1.29,0.95,0.92,2.24,0.71,2.2,5.85,1.75,2.37,3.83,1.78,,,,,
July,2.65,3.29,2.19,5.12,2.91,5.83,1.4,1.41,3.25,2.68,2.05,2.48,2.31,0.77,0.5,,,,,
August,1.21,1.88,3.95,1.78,1.62,1.21,3.22,4.13,1.25,2.86,5.28,0.76,2.45,1.8,1.04,,,,,
September,2.18,0.39,2.89,2.46,0.67,1.27,2.82,3.05,0.88,4.1,2.66,1.9,2.13,3.71,2.42,,,,,
October,1.61,1.81,4.12,3.09,1.61,6.83,2.2,4.27,1.05,2.56,1.68,1,3.64,1.62,1.15,,,,,
November,2.14,0.71,6.96,1.45,2.5,1.81,1.18,1.92,0.51,2.62,2.76,4.44,1.18,1.76,2.42,,,,,
December,1.63,0.7,2.06,0.57,1.44,1.41,1.64,0.39,1.87,2.41,2.7,1.37,1.77,1.14,0.51,,,,,
Total,,21.86,35.55,27.85,18.49,25.13,24.01,25.37,17.85,27.94,34.37,20.18,26.48,20.68,17.26,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is on Lordship Lane at the correct altitude but the Lane extends nearly 2 miles West and the western end is also at the right altitude but is not Tottenahm, could be +/- 500m East or West, possibly more",,,,,,,,,,,,,,,,,,,,
"1850s record for Lordship Lane notes that Jan to Mar for 1850 are taken from Mr Fowler's gauge, therefore readings moved to this reord.",,,,,,,,,,,,,,,,,,,,
