TOTTENHAM-OBS-FOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ334905,Long,-0.075417859,Lat,51.597556,Elevation,63,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,,,,,,,,2.13,1.15,2.29,1.29,,,,,,,,,
February,,,,,,,,,,,,,,,,,,2.76,3.2,2.19,1.74,,,,,,,,,
March,,,,,,,,,,,,,,,,,,1.03,3.16,0.78,0.15,,,,,,,,,
April,,,,,,,,,,,,,,,,,,0.93,3.02,1.84,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,1.75,0.22,3.4,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,1.55,3.87,0.51,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,1.54,1.78,3.41,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,1.49,4.91,0.67,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,2.22,2.29,2.97,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,1.92,3.38,2.52,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,1.71,1.06,1.76,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,2.18,2.36,2.26,,,,,,,,,,
Total,,,,,,24.43,29.76,20.61,23.13,28.64,21.79,31.34,26.03,28.28,25.3,24.66,,21.21,30.4,24.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Bruce Grove, where the observer, Thomas Fowler, lived. The record has a note that the location is a quarter mile from Luke Howard, another observer, who lived at No. 7 Bruce Grove (there is a blue plaque). Most likley NW of no 7 but might be S as Bruce Grove extended south in the 1800s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1850s record for Lordship Lane notes that Jan to Mar for 1850 are taken from Mr Fowler's gauge, therefore readings moved to this reord. There is no record for Mr Fowler's gauge in the 1950s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835 to 1845 only annual totals  recorded. No total for 1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
