HOLMBRIDGE-LIGHTENS-ROAD,,,,,,,,,,
Grid ref,SE102038,Long,-1.8475926,Lat,53.530761,Elevation,1473,ft.,,
Station no,3178/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.7,4.34,8.5,6.22,6.1,6.42,8
February,,,,5.5,3.02,2.6,4.2,9.4,0.75,5
March,,,,3.7,3.05,2.75,5.3,3.7,2.61,2.02
April,,,,1.3,2.71,3.07,0.58,2.26,5.71,3.5
May,,,,4.17,6.24,2.13,1.72,4.91,2.09,2.61
June,,,,3.91,4.25,3.9,2.11,5.71,2.3,2.39
July,,,,8.9,1.59,10,6.53,6.1,5,9.84
August,,,,8.4,1.29,14,8.5,5.55,1,6.6
September,,,,8.5,3.8,5.47,8.68,6.17,0.4,4.15
October,,,,12.01,4.32,4.44,9,6.12,6.4,7.55
November,,,,9.5,2.73,3.42,3.4,2.06,6.16,8.83
December,,,,13.1,9.47,7.32,7.35,6,10.94,7.75
Total,,,,84.69,46.81,67.6,63.59,64.08,49.78,68.24
,,,,,,,,,,
NGR is from the 1950s record and is by Lightens Road. Altitudes match.,,,,,,,,,,
MIDAS src_id 2680 ends 1976,,,,,,,,,,
