"HASTINGS FAIRLIGHT RESERVOIR",,,,,,,,,,,,
Grid ref,TQ841121,Long,0.615584,Lat,50.879066,,,,,,,
Station no,545,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.18,3.11,4.15,1.22,3.89,1.05,1.48,1.20,,
February,,,1.71,1.78,2.91,0.64,2.76,1.40,1.24,0.37,,
March,,,1.29,1.93,1.51,4.61,1.61,0.80,1.98,3.09,,
April,,,0.77,2.18,1.20,1.95,1.15,2.97,1.77,2.29,,
May,,,2.02,1.96,2.67,0.99,2.83,2.12,1.33,1.18,,
June,,,2.33,2.95,1.17,4.51,1.27,2.66,1.34,3.04,,
July,,,0.95,5.27,0.99,0.86,0.20,2.91,2.18,2.73,,
August,,,4.27,2.98,1.23,2.98,0.77,1.25,4.20,3.75,,
September,,,2.13,2.57,1.05,3.20,1.28,0.71,2.21,2.73,,
October,,,2.77,4.91,2.40,2.38,4.55,5.18,1.52,6.52,,
November,,,1.89,2.44,1.82,5.67,6.57,2.48,1.12,1.00,,
December,,,2.54,2.09,3.15,1.10,2.10,2.94,2.55,5.66,,
Total,,,23.85,34.17,24.25,30.11,28.98,26.47,22.92,33.56,,
Calc annual,0.00,0.00,23.85,34.17,24.25,30.11,28.98,26.47,22.92,33.56,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
