HAGWORTHINGHAM - FURZE FARM,,,,,,,,
Grid ref,TF354691,Long,0.026,Lat,53.202,Elevation,205,ft
Station no,2564,,,,,,,
,,,,,,,,
,1953,1954,1955,1956,1957,1958,1959,1960
January,-999,,,,,,,
February,-999,,,,,,,
March,-999,,,,,,,
April,-999,,,,,,,
May,-999,,,,,,,
June,-999,,,,,,,
July,-999,,,,,,,
August,-999,,,,,,,
September,-999,,,,,,,2.69
October,-999,,,,,,,6.03
November,-999,,,,,,,4.11
December,-999,,,,,,,4.36
Total,-999,,,,,,,
,,,,,,,,
TYRain_1951-1960_15_pt1/238,,,,,,,,
,,,,,,,,
The gauge moved to Furze Farm (shown as The Firs on old maps) from the Manor House in mid-September 1960.,,,,,,,,
The station continued until 1986 according to MIDAS.,,,,,,,,
