JERSEY-ST-AUBINS-(NOIRMONT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV603482,Long,-2.17251,Lat,49.18379,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,2.69,4.66,1.07,2.58,1.51,2.82,3.52,2.78,4.56,2.77,1.98,1.33,4.85,2.21,1.78,,,,,,,
February,,,,,,,,,1.98,4.62,3.77,3.83,1.96,2.67,2.54,4.02,1.31,0.95,2.39,2.87,1.88,0.07,2.21,,,,,,,
March,,,,,,,,,2.01,1.27,1.77,2.15,1.56,2.41,1.89,1.75,3.27,0.87,4.2,1.49,1.98,2.33,1.8,,,,,,,
April,,,,,,,,,3.97,2.19,1.97,0.92,2.89,1.42,1.75,1.92,2.19,2.34,2.44,1.63,2.58,0.79,2.33,,,,,,,
May,,,,,,,,,2.96,2.25,0.4,1.34,1.33,2.32,1.05,1.96,4.56,1.97,1.39,1.54,2.43,3.22,1.02,,,,,,,
June,,,,,,,,,2.66,3.2,1.78,2.81,3.02,1.84,4.4,1.12,0.98,0.94,2.97,3.5,2.89,2.53,1.75,,,,,,,
July,,,,,,,,,1.89,1.87,2.62,1.73,3.05,2.18,1.71,0.1,3.06,0.42,5.54,2.39,4.25,1.28,2.45,,,,,,,
August,,,,,,,,,2.89,4.07,1.23,4.08,2.45,1.48,1.24,1.08,1.81,1.94,2.52,2.63,2.06,6.17,2.21,,,,,,,
September,,,,,,,,,2.44,3.67,6.6,1.71,3.33,5.27,3.69,3.61,1.49,1.61,1.13,0.86,0.89,1.34,2.36,,,,,,,
October,,,,,,,,,4.53,1.3,10.45,3.76,5.89,3.85,3.09,6.07,7.61,3.38,2.54,8.24,2.75,7.72,8.17,,,,,,,
November,,,,,,,,,8.03,0.93,3.67,3.64,8.96,6.27,2.52,4.01,4.03,5.43,5.07,2.49,5.69,3.53,2.72,,,,,,,
December,,,,,,,,,4.02,0.73,4.86,4.89,5.85,1.45,5.71,1.48,6.54,3.92,2.68,3.27,1.56,4.43,2.44,,,,,,,
Total,,,,,,,,,40.07,30.76,40.19,33.44,41.8,33.98,33.11,29.9,41.41,26.54,34.85,32.24,33.81,35.62,31.24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symons British Rainfall 1892 lists this at Noirmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symons British Rainfall 1893 lists this at St Aubins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No info to narrow down which month so split made in Jan 1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I read that it was only a small move to the station platform but it dropped from 270ft elevation to 35ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270ft unlikely as a long way from Noirmont so selected highest point in Noirmont at 225ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
