JERSEY-ST-AUBINS,,,,,,,,,,,,,,,,,,,,
Grid ref,WV604488,Long,-2.16983,Lat,49.18984,Elevation,110,ft,,,,,,,,,,,,
Station no,RR483,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.8,0.74,5.78,2.86,4.21,1.04,2.79,1.55,2.68,3.3,2.87,,,,
February,,,,,,2.44,3.07,2.16,2,5.05,3.54,3.64,1.74,2.49,2.48,3.9,,,,
March,,,,,,0.43,4.74,3.3,2.11,1.34,1.81,2.03,1.65,2.69,1.88,1.77,,,,
April,,,,,,0.63,2.39,3.84,3.73,2.06,1.9,0.98,2.71,1.41,1.7,2.07,,,,
May,,,,,0.72,0.87,0.61,2.16,3.02,2.29,0.43,1.48,1.36,2.46,0.91,1.94,,,,
June,,,,,0.63,1.93,0.65,0.43,2.57,3.41,1.8,2.81,3.16,1.72,4.5,1.02,,,,
July,,,,,1.73,2.25,0.65,2.5,1.82,1.57,2.69,1.69,3.1,2.48,1.82,0.11,,,,
August,,,,,1.65,1.09,2.28,1.73,3.31,3.96,1.19,3.99,2.33,1.4,1.3,1.04,,,,
September,,,,,2.42,2.73,6.04,1.58,2.47,3.59,6.39,1.7,3.21,5.11,3.28,3.61,,,,
October,,,,,4.36,6.28,1.83,2.61,4.8,1.38,10.11,3.63,5.9,4.37,3.04,5.68,,,,
November,,,,,3.24,5.51,3.94,6.1,8.14,1.05,3.69,3.58,8.77,5.55,2.64,3.71,,,,
December,,,,,7.66,1.64,6.73,3.02,4.29,0.87,4.58,4.4,5.93,1.53,5.85,1.52,,,,
Total,,,,,,31.6,33.67,35.21,41.12,30.78,39.17,32.72,41.41,33.89,32.7,29.24,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"When the observer lived here it was a school and he was the headmaster. He had 2 gauges, one on the lawn, the other in a viewing tower built by the previous owner.",,,,,,,,,,,,,,,,,,,,
It is currently a hotel 250 yrds N of station,,,,,,,,,,,,,,,,,,,,
Given elevation of 140ft a little high,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
From May 1874 to Feb 1876 a gauge made on the island was used. From 12th Feb 1876 a Met Office gauge was used.,,,,,,,,,,,,,,,,,,,,
The old gauge was kept beside the new one for 6 months and the difference was very slight,,,,,,,,,,,,,,,,,,,,
