MONYASH-RECTORY,,,,,,,,,,
Grid ref,SK151665,Long,-1.7754391,Lat,53.195371,Elevation,884,ft.,,
Station no,2674/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.61,3.38,6.05
February,,,,,,,,7.23,0.32,3.54
March,,,,,,,,2.41,2.24,2.61
April,,,,,,,,1.22,3.79,2.43
May,,,,,,,,4.09,1.24,1.98
June,,,,,,,,5.95,1.66,2.33
July,,,,,,,,4.81,2.92,4.84
August,,,,,,,,2.43,2.41,4.77
September,,,,,,,,4.93,0.12,5.6
October,,,,,,,,4.5,3.69,6.63
November,,,,,,,2.37,1.25,5.6,5.88
December,,,,,,,5.1,4.81,7.26,4.76
Total,,,,,,,,48.24,34.63,51.42
,,,,,,,,,,
"NGR is the graveyard beside the rectory and church, the record notes the gauge is in the graveyard. Altitudes match.",,,,,,,,,,
"NGR on 1950s records, SK152664, is 100m or so E.",,,,,,,,,,
"MIDAS src_id 3351, ends 1981 and uses the NGR from the 1950s record.",,,,,,,,,,
