PETERSFIELD-HIGH-STREET,,,,,,,,,,
Grid ref,SU747232,Long,-0.9355,Lat,51.0042,Elevation,205,ft,,
Station no,RR8737,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,4.84,0.77,3.54,4.65,2.56,5.61,,,,
February,1.01,3.29,0.83,1.33,1.53,2.93,,,,
March,3.2,4.51,4.56,1.2,4.42,0.67,,,,
April,1.36,0.4,2.86,0.85,2.55,1.1,,,,
May,3.93,1.77,3.96,2.59,1.62,3.23,,,,
June,9.75,2.85,3.65,3.58,1.59,,,,,
July,2.8,5.17,3.25,1.16,0.74,,,,,
August,5.85,1.33,1.76,2.79,1.17,,,,,
September,5.15,4.5,2.37,6.07,4.2,,,,,
October,5.72,1.88,6.78,5.17,2.05,,,,,
November,4.53,7.42,1.42,2.24,5.12,,,,,
December,4.93,0.53,3.15,4.16,1.11,,,,,
Total,53.07,34.42,38.13,35.79,28.66,,,,,
,,,,,,,,,,
1860 Jan Station started,,,,,,,,,,
Observer lived about half way down the High Street,,,,,,,,,,
