Rainfall at,HARRIS, ISLAND GLASS
,
Station no,,
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.73,6.83,4.00,3.00,5.52,6.61,6.07,2.94,3.76,3.39,
February,6.39,5.70,3.87,3.39,5.80,4.90,4.10,0.99,5.10,1.31,
March,2.15,2.48,4.56,5.02,3.81,2.12,1.15,2.35,3.01,4.10,
April,4.52,6.47,2.76,2.88,3.60,2.92,3.41,2.34,1.27,4.24,
May,3.05,2.00,2.84,2.99,2.77,0.76,3.71,2.17,1.86,1.45,
June,1.29,2.94,3.02,3.73,1.43,0.76,1.47,3.04,3.64,3.41,
July,2.23,4.68,2.39,0.81,1.93,2.01,1.61,2.11,3.24,1.59,
August,5.94,3.80,2.41,1.82,3.16,2.21,0.76,3.56,7.69,3.43,
September,2.06,6.03,1.96,2.18,4.56,2.31,2.72,6.10,4.86,3.32,
October,1.98,2.58,4.98,5.93,2.35,1.04,5.68,9.12,5.12,1.95,
November,4.49,4.62,0.74,6.89,5.07,1.56,6.10,6.92,4.35,3.27,
December,5.40,5.90,6.87,4.35,3.66,1.91,4.38,3.07,4.80,4.31,
Total,44.23,54.03,40.40,42.99,43.66,29.11,41.16,44.71,48.70,35.77,
Calc annual,44.23,54.03,40.40,42.99,43.66,29.11,41.16,44.71,48.70,35.77,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,
