NEWTON LE WILLOWS (VISTA AVENUE),,,,,,,,,,
Grid ref,SJ573959,Long,-2.644545,Lat,53.458109,Elevation,132,ft,,
Station no,2823/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.86,1.69,4.02,1.71,2.57,2.38,
February,,,,1.59,1.8,0.48,1.97,5.56,0.35,
March,,,,2.07,1.84,0.99,2.83,1.3,1.56,
April,,,,0.86,1.04,3.54,0.83,0.73,2.65,
May,,,,2.87,1.32,0.92,1.79,3.43,1.82,
June,,,,2.32,2.52,1.77,2.21,4.78,2.51,
July,,,,3.85,0.52,6.01,5.04,4.79,2.86,
August,,,,4.75,1.27,8.56,4.9,3.52,0.81,
September,,,,3.95,3.28,2.84,4.99,3.05,0.16,
October,,,,6.65,2.22,2.16,3.1,3.29,2.28,
November,,,,5.54,1.53,1.39,1.22,1.62,4.05,
December,,,1.1,2.94,4.38,2.76,2.76,3.46,4.89,
Total,,,,40.25,23.41,35.44,33.35,38.1,26.32,
,,,,,,,,,,
"Gauge moved here 9 Nov, 3 miles from previous location",,,,,,,,,,
"1951, 1953 and 1953 Jan-Nov deleted as a result",,,,,,,,,,
