"MATTERDALE FELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2101,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,7.00,5.00,13.75,,,,,,,,,
February,8.50,,6.25,,,,,,,,,
March,2.00,,4.75,,,,,,,,,
April,1.25,3.75,2.50,,,,,,,,,
May,5.00,1.50,4.00,,,,,,,,,
June,1.75,3.00,2.00,,,,,,,,,
July,1.00,,3.75,,,,,,,,,
August,5.00,,,,,,,,,,,
September,3.25,,,,,,,,,,,
October,19.75,7.25,,,,,,,,,,
November,5.25,2.00,,,,,,,,,,
December,4.00,9.00,,,,,,,,,,
Total,63.75,,,,,,,,,,,
Calc annual,63.75,31.50,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
