WOKING-WESTFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ002563,Long,-0.56423021,Lat,51.29702,Elevation,100,ft.,,,,,,,,,,,,,
Station no,218,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.39,3.81,1.48,1.9,1.66,1.94,0.91,4.86,5.35,2.64,4.78,2.69
February,,,,,,,,,,0.5,0.82,1.44,0.22,3.94,0.21,2.92,1.84,4.1,0.57,1.42,2.12
March,,,,,,,,,,0.01,1.2,0.3,1.35,2.73,2.33,0.29,1.4,3.51,0.24,1.09,3.43
April,,,,,,,,,,0.83,1.9,4.28,2.38,0.79,1.98,3.33,2.04,2.54,0.13,2.56,1.61
May,,,,,,,,,,2.51,2.71,2.94,3.94,3.23,0.65,1.43,0.8,2.49,1.42,1.71,1.09
June,,,,,,,,,,1.52,1.85,1.74,1.13,1.82,1.41,3.25,3.17,2.49,0.7,1.25,0.9
July,,,,,,,,,,1.23,2.27,3.75,2.44,1.63,2.34,1.07,3.8,1.03,1.48,2.4,2.32
August,,,,,,,,,2.56,2.42,2.73,4.6,0.65,0.76,2.12,3.16,1.35,1.12,1.91,2.13,0.14
September,,,,,,,,,1.24,0.17,3.1,1.8,2.27,2.2,1.46,4.15,2.53,2.03,1.73,0.72,1.47
October,,,,,,,,,4.73,3.1,1.15,0.65,4.77,1.93,1.88,3.77,2.2,3.32,2.69,4.42,3.1
November,,,,,,,,,1.77,6.12,4.63,2.74,1.19,0.98,2.46,5.26,3.25,1.66,3.41,4.84,
December,,,,,,,,,2.5,6.3,2.31,0.66,0.52,0.4,6.31,2.78,2.56,4.2,3.45,1.12,
Total,,,,,,,,,,26.1,28.48,26.38,22.76,22.07,25.09,32.32,29.8,33.84,20.37,28.44,
,,,,,,,,,,,,,,,,,,,,,
"NGR is close to Westfield at the position thought to be Crossways, where the observer lived.",,,,,,,,,,,,,,,,,,,,,
Stated altitude is slightly high or rounded to 100ft.,,,,,,,,,,,,,,,,,,,,,
