"WILLEY RECTORY (LUTTERWORTH)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4710,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.41,0.84,2.12,2.78,2.16,1.92,2.86,3.25,1.02,,,
February,2.84,3.84,1.92,3.46,1.01,2.63,0.47,0.60,1.56,,,
March,1.75,1.84,1.46,1.23,1.86,0.81,2.38,1.76,2.29,,,
April,1.60,0.60,3.15,1.83,2.00,2.55,1.90,1.32,2.30,,,
May,1.56,1.25,1.80,2.28,1.42,2.43,5.13,2.10,1.04,,,
June,3.57,2.33,4.44,4.91,2.07,2.21,0.90,1.56,2.40,,,
July,7.58,2.16,3.19,3.65,5.66,0.09,2.93,0.73,6.23,,,
August,1.25,5.36,1.81,1.13,2.88,3.25,1.46,1.15,2.66,,,
September,5.22,2.29,2.95,4.45,1.29,2.74,2.03,2.88,1.40,,,
October,5.05,2.94,5.78,2.42,1.80,4.58,4.95,2.25,0.74,,,
November,2.08,2.77,4.02,4.14,1.56,3.73,2.38,2.29,3.40,,,
December,3.11,2.69,3.49,0.92,2.52,0.78,3.54,1.64,2.20,,,
Total,36.02,28.91,36.13,33.20,26.23,27.72,30.93,21.53,27.24,,,
Calc annual,36.02,28.91,36.13,33.20,26.23,27.72,30.93,21.53,27.24,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
