KILMARNOCK (GRANGE SCHOOL),,,,,,,,,,
Grid ref,NS418377,Long,-4.5129269,Lat,55.607115,Elevation,107,ft,,
Station no,5231/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.98,4.07,4.78,1.96,4.21,3.43,,,
February,3.09,0.04,2.95,0.56,4.21,1.57,4.37,,,
March,0.86,3.01,2.87,2.38,2.3,2.32,0.59,,,
April,1.79,2.91,2.52,3.49,2.64,1.27,1.77,,,
May,2.44,2.87,2.28,3.35,0.61,1.96,1.4,,,
June,4.83,1.33,2.34,2.17,3.57,2.06,3.74,,,
July,4.25,3.75,4.32,3.26,1.83,6.21,5.36,,,
August,1.23,1.87,4.22,3.97,1.86,4.74,3.59,,,
September,1.13,4.49,0.72,5.43,6.4,3.56,2.61,,,
October,2.9,6.19,3.15,6.02,7.43,4.69,2.75,,,
November,6.42,4.16,2.01,0.95,3.96,3.79,0.53,,,
December,3.52,7.6,1.62,5.34,3.46,5.6,2.49,,,
Total,,45.2,33.07,41.7,40.23,41.98,32.63,,,
,,,,,,,,,,
TYRain_1941-1950_29_pt1-page-131.csv - no data,,,,,,,,,,
