BLANDFORD-WHATCOMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST837012,Long,-2.232712,Lat,50.810119,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.76,8.51,,3.39,5.81,1.67,8.86,1.91,5.61,1.01,2.34,1.64,5.29,4.97,3.88,2.88,3.07,1.55,0.75,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.21,3.67,,3.09,3.16,3.47,1.65,3.16,5.5,5,5.06,2.53,6.37,2.93,3.77,1.74,1.69,1.55,2.89,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,3.01,4.27,,0.38,1.58,3.62,2.48,2.46,0.64,1.53,3.73,0.96,1.67,3.37,2.66,3.29,0.59,5.07,3.84,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,5.89,2.75,,2.55,1.51,3.58,5,4.01,3.76,2.25,0.98,5.39,1.39,2.1,3.36,1.88,1.22,2.39,3.12,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.07,3.24,,0.58,2.31,0.47,3.38,5.35,3.04,0.95,0.8,1.69,2.18,1.6,3.25,3.61,1.39,2.43,1.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.71,3.75,,1.77,2.96,1.67,1.32,1.57,6.98,2.41,2.97,3.99,2.31,2.47,1.59,1.38,0.86,3.23,1.66,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,5.03,3.83,,1.38,4.97,0.68,3.73,1.93,4.03,4.39,2.05,4.17,2.72,3.46,0.12,2.59,1.14,5.96,2.58,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.66,2.07,,2.53,2.26,4.32,3.76,4.13,6.27,1.16,8.3,3.03,0.87,1.43,0.69,1.52,2.46,2.26,2.78,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.79,2.76,,4.61,2.11,5.7,3,1.72,5.16,3.89,2.09,3.35,5.87,1.67,5.85,3.23,3.74,1.49,1.44,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.17,6.88,,6.33,8.25,4.17,3.05,3.82,1.23,6.57,2.45,8.57,3.14,1.3,4.87,4.32,2.25,2.65,5.82,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
