LOCH AWE (FORD),,,,,,,,,,,,
Grid ref,NM870035,Long,-5.433132,Lat,56.176383,,,,,,,
Station no,5407/01,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.57,,
February,,,,,,,,,,5.69,,
March,,,,,,,,,,2.36,,
April,,,,,,,,,,6.07,,
May,,,,,,,,,,2.99,,
June,,,,,,,,,,4.09,,
July,,,,,,,,,,5.05,,
August,,,,,,,,,,4.35,,
September,,,,,,,,,,4.44,,
October,,,,,,,,,,3.38,,
November,,,,,,,,,8.32,7.90,,
December,,,,,,,,,10.23,10.70,,
Total,,,,,,,,,,61.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.55,61.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
