LETCOMBE-REGIS,,,,,,,,,,
Grid ref,SU380864,Long,-1.4530563,Lat,51.575192,Elevation,350,ft.,,
Station no,811/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.7
February,,,,,,,,,,1.88
March,,,,,,,,,,1.29
April,,,,,,,,,,0.95
May,,,,,,,,,,1.69
June,,,,,,,,,,3.05
July,,,,,,,,,,3.2
August,,,,,,,,,,1.8
September,,,,,,,,,,3.7
October,,,,,,,,,,6.32
November,,,,,,,,,,4.22
December,,,,,,,,,,4.91
Total,,,,,,,,,,36.71
,,,,,,,,,,
"NGR is from the 1950s record and is in Letcombe Regis, 100m N of Letcombe Manor, which housed the observer, the Agricultural Research Centre.",,,,,,,,,,
Altitudes match.,,,,,,,,,,
"MIDAS src_id 820 continues to 1984 and in Oxfordshire and has gauge100m S, closer to the Manor",,,,,,,,,,
