Rainfall at,GUISBOROUGH LOCKWOOD BECK RESERVOIR
,
Station no,,
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.16,,3.03,3.84,1.57,4.04,1.26,4.64,1.50,2.70,
February,3.35,,1.46,1.02,2.03,4.18,4.25,0.65,1.54,1.73,
March,0.70,,2.98,2.76,2.07,1.84,4.20,2.40,1.47,4.68,
April,3.24,,0.17,3.32,0.67,1.16,2.10,2.80,1.95,1.95,
May,2.21,,2.96,1.64,2.35,2.30,2.95,1.40,2.10,0.76,
June,2.19,5.85,4.48,1.95,6.03,0.44,2.15,1.56,0.63,1.80,
July,3.06,1.12,6.02,1.55,7.45,5.31,1.76,1.35,3.28,2.00,
August,3.46,2.57,5.31,1.70,1.10,3.51,2.90,6.80,2.57,3.15,
September,1.31,2.52,2.58,1.59,2.23,2.34,1.25,0.60,4.90,1.20,
October,4.36,2.27,2.85,3.84,2.83,2.20,3.60,2.63,2.80,6.70,
November,3.04,4.80,2.85,2.01,3.80,3.35,4.10,2.56,1.50,3.65,
December,2.68,4.57,1.22,2.65,6.37,5.64,4.52,2.00,3.88,2.88,
Total,32.76,,35.91,27.87,38.50,36.31,35.04,29.39,28.12,33.20,
Calc annual,32.76,23.70,35.91,27.87,38.50,36.31,35.04,29.39,28.12,33.20,
Difference,0.00,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
