GUISBOROUGH LOCKWOOD BECK RESERVOIR,,,,,,,,,,,,
Grid ref,NZ668141,Long,-0.969599,Lat,54.517804,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,2.45,1.37,2.58,2.03,0.40,2.86,0.80,1.19,,,
February,5.48,3.21,1.78,1.64,3.91,1.18,2.01,1.10,1.92,,,
March,1.99,2.26,1.40,2.68,1.92,1.65,1.61,1.01,2.78,,,
April,1.45,1.70,1.69,1.88,1.56,2.68,0.91,2.49,2.78,,,
May,1.31,2.21,2.90,3.45,3.57,1.27,4.40,3.83,2.58,,,
June,3.16,1.55,3.42,4.68,1.32,1.00,1.22,2.84,0.96,,,
July,2.14,5.05,3.56,4.72,3.21,0.82,1.32,2.18,2.84,,,
August,7.04,2.98,2.67,1.90,3.03,2.63,3.28,2.28,3.01,,,
September,0.71,1.04,1.19,3.80,1.50,2.98,0.89,0.75,1.80,,,
October,6.42,2.65,3.53,8.45,0.57,4.46,5.92,5.87,1.39,,,
November,3.56,4.64,1.03,3.51,2.90,6.15,3.70,2.74,2.08,,,
December,2.22,4.24,2.96,1.34,2.54,0.60,2.48,3.76,1.56,,,
Total,38.88,33.98,27.50,40.63,28.06,25.82,30.60,29.65,24.89,,,
Calc annual,38.88,33.98,27.50,40.63,28.06,25.82,30.60,29.65,24.89,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
