CYNFAL,,,,,,,,,,,,,,,,,,,,
Grid ref,SH751416,Long,-3.8607562,Lat,52.957186,Elevation,1240,ft.,,,,,,,,,,,,
Station no,4335/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,7.82,11.1,9,16.9,6.3,6.26,9.64,9.97,4.88,7.5,7.6,8.1,16.9,13.43,10.25,14.95
February,,,,,10.1,15.5,1.25,5.75,4.6,9.8,7.6,6.35,5.25,6.4,3.5,2.5,7.85,12.25,4,11
March,,,,,6.28,2.8,9.6,5.3,4.4,4.95,9.73,5.04,4.84,5.92,3.44,6.4,11.45,3.9,4.4,2.5
April,,,,,2.35,3.1,8.3,3.7,9.5,7.5,7.87,3.24,5.97,4.55,8.52,3.17,1.2,3,8.83,3.5
May,,,,,6.42,2.15,4.7,2.65,6,1.7,3.7,4.5,4.2,4.74,6.76,4.65,4.86,9.97,2.95,5.43
June,,,,,6.95,8.4,5,10.1,1.5,5.18,2.5,5.75,4.35,6.68,10.85,8.25,7.08,5.14,3.75,3.25
July,,,,,4.6,6.4,5.55,4.6,4.9,7,4.2,5.63,10.58,14.7,2.16,7.4,15.75,8.4,6,9.74
August,,,,,3.55,8.95,0.55,11.8,3.62,12.37,8.96,6.09,7.96,10.7,4.72,14.25,12.45,5.5,1.55,7.2
September,,,,,6,11.45,6.05,7.8,2.38,16.85,11.94,7.84,9.74,10.26,4.84,6.8,14.15,11.65,1.25,8
October,,,,,3.75,1.91,0.82,6.85,12.45,7.8,3.4,9.34,2.8,19.42,5.48,9.68,22.9,12.05,10.75,5.6
November,,,,,0.87,10.62,11.7,7.2,9.5,8.15,14.28,4.98,13.22,13.52,4.2,8.25,3.09,2.95,,22.9
December,,,,,7.5,8.85,8.4,9.3,13.84,5.43,14.9,9.18,4.1,11.46,10.3,9.58,12.57,6.95,20.86,9.18
Total,,,,,66.19,91.23,70.92,91.95,78.99,92.99,98.72,77.91,77.89,115.85,72.37,89.03,130.25,95.19,,103.25
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is on the side of a valley near to Afon Cynfal but actually in the valley of another stream. Stated altitude is too low for the area and is 35 ft lower than the altitude at the stated NGR. Continues to 1883, from MIDAS.",,,,,,,,,,,,,,,,,,,,
