TAUNTON-BISHOPS-LYDEARD-HOUSE-(VILLAGE),,,,,,,,,,
Grid ref,ST168292,Long,-3.18844,Lat,51.0561,Elevation,185,ft,,
Station no,RR7941,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.41,3.09,,,,,,,,
February,1.59,1.37,,,,,,,,
March,1.93,1.69,,,,,,,,
April,0.37,3.76,,,,,,,,
May,1.27,0.64,,,,,,,,
June,0.6,2.44,,,,,,,,
July,0.38,6.03,,,,,,,,
August,3.49,1.38,,,,,,,,
September,0.96,4.66,,,,,,,,
October,5.58,3.74,,,,,,,,
November,2.4,1.23,,,,,,,,
December,1.46,2.1,,,,,,,,
Total,22.44,32.13,,,,,,,,
,,,,,,,,,,
This observer lived near the PO in the main village 0.5 miles S of Lydeard House,,,,,,,,,,
BR has no 1869 entry,,,,,,,,,,
1871 Dec Station terminated,,,,,,,,,,
