BOLTBY VILLAGE - EAST II,,,,,,,,
Grid ref,SE492866,Long,-1.246,Lat,54.273,Elevation,480,ft
Station no,3434,,,,,,,
,,,,,,,,
,1913,1914,1915,1916,1917,,,
January,3.72,1.68,4.39,0.46,2.31,,,
February,1.06,2.00,4.17,3.35,0.87,,,
March,2.72,2.47,1.62,3.50,2.80,,,
April,3.44,0.52,1.24,1.20,2.00,,,
May,1.71,1.88,1.33,2.17,0.86,,,
June,1.23,2.03,0.32,2.67,2.17,,,
July,0.73,5.06,4.20,2.26,1.37,,,
August,0.99,1.70,3.69,2.07,8.33,,,
September,1.19,1.49,0.98,2.27,0.84,,,
October,2.50,2.19,,3.97,,,,
November,2.34,3.02,2.36,3.76,2.20,,,
December,1.80,5.86,5.74,2.31,1.90,,,
Total,23.43,29.90,,29.99,,,,
,,,,,,,,
TYRain_1910-1919_20_pt1/296,,,,,,,,
,,,,,,,,
# Readings for 1910-1912 are for the Boltby Cliff Head No 1 site (SE494867) where the gauge resided before moving to the village.,,,,,,,,
# The gauge moved further to the south east of the village at the start of 1918.,,,,,,,,
#,,,,,,,,
# The reading for October 1915 is an estimate and has been omitted.,,,,,,,,
# The reading for October 1917 is marked as unreliable and has been omitted.,,,,,,,,
