WOODHEAD-FEATHERBED-MOSS,,,,,,,,,,
Grid ref,SK118981,Long,-1.8236674,Lat,53.479494,Elevation,1670,ft.,,
Station no,RR7668,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,7.13
February,,,,,,,,,,2.27
March,,,,,,,,,,3.45
April,,,,,,,,,,5.08
May,,,,,,,,,,4.24
June,,,,,,,,,,2.57
July,,,,,,,,,,2.82
August,,,,,,,,,,2.29
September,,,,,,,,,1.22,7.98
October,,,,,,,,,7.98,5.41
November,,,,,,,,,5.57,2.92
December,,,,,,,,,8.1,4.52
Total,,,,,,,,,,50.68
,,,,,,,,,,
NGR is at the West end of Featherbed Moss at the stated altitude.,,,,,,,,,,
"This positon is closer to Woodhead, in Derbyshire and in the Mersey catchment area, as noted on the records.",,,,,,,,,,
"NGR could be 1km or more East and possibly the same location as the later records, i.e 2.5km E",,,,,,,,,,
