"MASHAM MOOR (SOMERSIDE)",,,,,,,,,,,,
Grid ref,SE143773,Long,-1.782343,Lat,54.191269,,,,,,,
Station no,3410/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,3.63,0.79,3.35,2.93,4.45,4.68,3.70,4.00,5.66,,
February,4.54,0.59,3.20,2.64,2.11,2.28,3.35,6.43,0.18,4.75,,
March,4.86,2.52,0.67,2.55,2.13,1.75,2.30,2.60,2.62,3.23,,
April,2.78,1.83,3.12,0.78,0.85,2.31,0.42,0.93,4.54,2.13,,
May,7.96,1.73,3.13,4.94,3.25,0.97,1.63,6.14,1.21,1.55,,
June,1.19,1.29,3.52,2.80,2.50,3.40,1.69,3.57,1.68,1.24,,
July,1.67,0.99,3.78,2.81,1.11,5.94,4.03,4.22,2.07,5.44,,
August,6.57,3.93,3.83,6.62,1.22,8.28,6.01,4.14,0.83,3.78,,
September,2.19,5.02,3.36,3.38,2.06,4.10,4.19,2.80,0.19,4.09,,
October,1.97,5.69,2.49,7.63,2.23,2.64,4.37,3.32,4.85,8.85,,
November,10.60,2.37,3.41,7.51,2.70,0.77,1.86,1.10,6.06,5.97,,
December,5.92,3.01,2.26,4.12,5.54,3.99,4.28,5.76,8.36,5.18,,
Total,54.35,32.60,33.56,49.13,28.63,40.88,38.81,44.71,36.59,51.87,,
Calc annual,54.35,32.60,33.56,49.13,28.63,40.88,38.81,44.71,36.59,51.87,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
