"OTLEY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SE212461,Long,-1.678766,Lat,53.910624,,,,,,,
Station no,3316,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.65,3.00,0.35,2.16,1.35,3.89,1.65,2.37,2.56,4.37,,
February,2.95,0.44,1.70,2.28,1.58,1.08,2.64,3.76,0.07,2.04,,
March,3.27,1.39,0.65,1.48,2.04,0.95,1.75,1.58,1.36,1.74,,
April,1.18,1.67,2.35,0.21,1.09,2.52,0.24,0.53,2.73,1.14,,
May,4.57,1.93,1.21,3.55,2.86,0.77,1.17,3.77,0.85,0.98,,
June,0.77,1.93,1.98,1.58,1.45,2.64,1.39,2.97,1.58,0.84,,
July,2.22,1.19,3.02,1.23,1.07,4.14,2.59,3.06,2.10,3.72,,
August,5.18,3.65,4.15,5.87,0.97,5.47,5.14,2.40,0.61,2.86,,
September,2.30,2.87,1.87,2.59,0.98,4.06,4.23,3.40,0.05,3.02,,
October,1.03,3.15,2.02,4.10,1.95,1.32,2.73,2.28,2.75,4.86,,
November,7.07,1.71,2.91,4.58,2.21,0.45,1.55,0.65,3.76,5.95,,
December,3.19,2.20,1.04,3.19,3.99,2.86,3.32,3.89,5.92,3.27,,
Total,36.38,25.13,23.25,32.82,21.54,30.15,28.40,30.66,24.34,34.79,,
Calc annual,36.38,25.13,23.25,32.82,21.54,30.15,28.40,30.66,24.34,34.79,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
