SCARBOROUGH - OBSERVATORY,,,,,,,,,,
Grid ref,TA034878,Long,-0.414,Lat,54.275,Elevation,220,ft,,
Station no,3466,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.86,2.67,0.62,3.08
February,,,,,,,0.57,1.91,1.41,1.14
March,,,,,,,2.42,2.69,1.51,2.05
April,,,,,,,0.68,1.78,2.83,1.56
May,,,,,,,0.85,1.22,2.54,3.33
June,,,,,,,1.46,2.05,1.83,1.84
July,,,,,,,2.03,0.58,1.19,2.07
August,,,,,,,2.69,3.58,2.85,1.45
September,,,,,,,2.61,3.09,0.16,3.39
October,,,,,,,4.58,1.64,3.87,2.59
November,,,,,,,1.11,2.47,3.23,
December,,,,,,,2.71,1.52,2.06,
Total,,,,,,,22.57,25.20,24.10,
,,,,,,,,,,
TYRain_1890-1899_17_pt1/198,,,,,,,,,,
,,,,,,,,,,
"# The combined estimate for November and December 1899, after the gauge finished operation at the site, has been omitted.",,,,,,,,,,
#,,,,,,,,,,
# The observatory was on the corner of Lonsborough Road and St James Road.,,,,,,,,,,
