SCARBOROUGH - SOUTH CLIFF,,,,,,,,
Grid ref,TA045875,Long,-0.397,Lat,54.272,Elevation,120,ft
Station no,3466,,,,,,,
,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.81,1.72,4.98,,,,
February,,3.19,2.55,1.61,,,,
March,,0.18,0.96,1.57,,,,
April,,0.61,1.41,1.16,,,,
May,,1.44,1.73,0.91,,,,
June,,1.65,4.24,2.68,,,,
July,,2.57,2.57,5.61,,,,
August,,1.34,3.38,2.14,,,,
September,1.21,1.52,2.16,1.47,,,,
October,6.81,1.78,4.74,3.92,,,,
November,1.67,3.96,1.36,2.61,,,,
December,1.06,2.08,2.20,,,,,
Total,,22.13,29.02,,,,,
,,,,,,,,
TYRain_1890-1899_17_pt1/197,,,,,,,,
,,,,,,,,
# The December 1895 figure is bracketed and has been omitted.,,,,,,,,
#,,,,,,,,
# The gauge came from West Bank In September 1892.,,,,,,,,
#,,,,,,,,
# The detailed location has not been determined. The grid reference is for the central part of the South Cliff area.,,,,,,,,
