SCARBOROUGH - WEST BANK,,,,,,,,
Grid ref,TA032876,Long,-0.417,Lat,54.274,Elevation,160,ft
Station no,3466,,,,,,,
,,,,,,,,
,1887,1888,1889,1890,1891,1892,,
January,,1.29,1.15,2.04,1.03,1.38,,
February,,1.85,1.77,1.97,0.16,2.13,,
March,1.94,2.91,2.37,1.96,2.66,1.14,,
April,1.01,1.90,3.41,0.92,1.75,1.26,,
May,1.89,0.77,2.41,2.61,2.92,3.21,,
June,0.18,2.54,0.37,2.19,0.40,4.18,,
July,0.96,6.50,2.98,1.65,3.70,1.25,,
August,1.25,2.91,4.53,3.87,4.14,2.31,,
September,3.22,2.35,1.00,1.57,1.59,,,
October,3.16,1.23,5.13,2.21,3.41,,,
November,2.63,3.53,2.20,2.91,2.73,,,
December,2.14,1.46,1.40,0.99,2.78,,,
Total,,29.24,28.72,24.89,27.27,,,
,,,,,,,,
TYRain_1880-1889_11_pt2/051,,,,,,,,
TYRain_1890-1899_17_pt1/197,,,,,,,,
,,,,,,,,
"# Bracketed figures for January and February 1887, before the gauge became operational at this site, have been omitted.",,,,,,,,
#,,,,,,,,
# The gauge came from Westborough in March 1887. In September 1892 the gauge moved to South Cliff.,,,,,,,,
