"KELSO, MAXWELLHEUGH, SPRINGWOOD NURSERIES",,,,,,,,,,,,
Grid ref,NT716330,Long,-2.452150,Lat,55.589801,,,,,,,
Station no,RR3035,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.65,1.83,1.52,1.81,1.67,,
February,,,,,,0.88,0.94,1.10,1.55,1.77,,
March,,,,,,2.81,1.64,1.19,3.33,4.57,,
April,,,,,,3.44,1.07,2.09,1.46,3.09,,
May,,,,,,0.70,5.76,3.37,2.09,1.50,,
June,,,,,,0.81,2.04,3.85,1.58,1.98,,
July,,,,,,1.66,2.33,2.67,2.52,2.16,,
August,,,,,,4.17,5.17,1.87,2.12,2.32,,
September,,,,,,2.37,0.52,0.94,2.32,2.01,,
October,,,,,,2.74,6.03,6.10,2.86,3.25,,
November,,,,,,3.50,2.94,1.86,1.36,0.77,,
December,,,,,,0.69,1.52,2.74,0.53,3.24,,
Total,,,,,,24.42,31.79,29.30,23.53,28.33,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.42,31.79,29.30,23.53,28.33,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,,
