"BRUSHFORD NURSERIES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2110,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.36,4.24,5.33,4.07,5.62,4.54,7.60,6.48,7.16,1.57,6.80,
February,2.19,0.22,5.43,10.97,0.59,6.61,3.41,4.54,5.57,1.75,1.43,
March,4.13,3.09,3.88,1.64,1.63,1.25,1.04,5.27,3.80,0.40,2.76,
April,5.84,1.30,4.59,3.38,4.61,3.28,2.56,2.62,1.72,0.81,3.62,
May,2.27,2.19,1.34,2.37,4.63,5.41,3.16,1.09,1.07,3.27,2.61,
June,3.21,0.52,1.41,0.64,2.94,0.13,2.53,3.42,3.09,3.32,0.71,
July,5.57,1.15,4.37,3.27,6.52,3.78,1.65,4.37,2.27,2.68,3.31,
August,1.82,1.94,5.15,3.98,6.23,4.13,2.83,4.35,2.54,3.68,4.34,
September,2.40,2.25,4.05,3.97,6.65,4.52,2.55,7.66,1.53,0.97,6.24,
October,4.36,2.23,1.67,8.08,5.20,4.58,4.68,3.11,6.16,7.68,6.41,
November,3.26,3.72,2.71,4.82,5.16,3.32,9.71,4.40,6.03,11.02,6.18,
December,4.76,3.98,6.88,4.92,6.02,4.61,0.53,3.19,5.70,10.71,5.44,
Total,47.17,26.83,46.81,52.11,55.80,46.16,42.25,50.50,46.64,47.86,49.85,
Calc annual,47.17,26.83,46.81,52.11,55.80,46.16,42.25,50.50,46.64,47.86,49.85,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
