"BRUSHFORD NURSERIES",,,,,,,,,,,,
Grid ref,SS925258,Long,-3.534079,Lat,51.021490,,,,,,,
Station no,2110,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.93,6.89,0.99,4.00,,,,,,,,
February,6.15,1.11,3.53,4.22,,,,,,,,
March,4.92,3.02,1.76,5.07,,,,,,,,
April,3.40,3.63,3.24,,,,,,,,,
May,2.82,3.35,2.42,,,,,,,,,
June,1.62,1.86,3.04,,,,,,,,,
July,1.78,1.34,5.67,,,,,,,,,
August,4.22,5.06,3.65,,,,,,,,,
September,3.74,5.35,4.69,,,,,,,,,
October,2.00,5.27,3.99,,,,,,,,,
November,8.28,6.01,3.39,,,,,,,,,
December,4.37,5.82,1.96,,,,,,,,,
Total,50.23,48.71,38.33,,,,,,,,,
Calc annual,50.23,48.71,38.33,13.29,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
