LLANFYLLYN,,,,,,,,,,
Grid ref,SJ140197,Long,-3.2760801,Lat,52.768023,Elevation,450,ft.,,
Station no,4258/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,4.74
October,,,,,,,,,,6
November,,,,,,,,,,8.32
December,,,,,,,,,,6.17
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s record and is in Lanfyllyn.,,,,,,,,,,
Stated altitudes appear 30 to 40 ft. high or gauge is 100m SW to match altitude,,,,,,,,,,
MIDAS src_id 9773 ends 1977 and places gauge 100m W and slightly better match to altitude.,,,,,,,,,,
