"BROCKLESBY PARK",,,,,,,,,,,,
Grid ref,TA140113,Long,-0.279350,Lat,53.585901,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.55,0.58,3.07,1.04,1.29,0.89,,
February,,,,,3.07,0.93,2.58,1.77,1.88,0.97,,
March,,,,,2.08,2.57,2.22,1.37,2.48,4.03,,
April,,,,,1.42,2.26,0.76,1.66,2.19,2.20,,
May,,,,,1.78,0.76,1.37,3.59,1.39,1.06,,
June,,,,,1.10,1.72,1.59,3.33,1.38,2.46,,
July,,,,,3.13,1.26,1.15,2.44,3.94,3.73,,
August,,,,,4.30,3.59,2.11,1.78,1.94,5.44,,
September,,,,,2.77,1.90,0.86,0.57,2.62,1.60,,
October,,,,,1.43,2.46,4.78,4.30,1.11,3.69,,
November,,,,,1.67,3.18,3.98,2.06,1.67,0.73,,
December,,,,,1.64,0.61,1.93,2.52,1.47,5.09,,
Total,,,,,25.94,21.82,26.40,26.43,23.36,31.89,,
Calc annual,0.00,0.00,0.00,0.00,25.94,21.82,26.40,26.43,23.36,31.89,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
