BROCKLESBY PARK (Early),,,,,,,,,,
Grid ref,TA140113,Long,-0.279,Lat,53.586,Elevation,108,ft,,
Station no,2577,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,1.54,0.54,1.37,0.00,1.43,0.89,1.99,,,
February,1.44,1.06,0.91,1.67,1.80,0.10,0.24,,,
March,0.70,2.49,2.24,0.50,0.98,1.80,0.99,,,
April,0.69,1.59,1.82,1.92,0.25,1.27,2.30,,,
May,3.31,2.03,2.99,3.67,0.20,1.91,0.65,,,
June,1.19,2.18,1.23,2.66,0.74,2.72,0.91,,,
July,3.14,3.66,1.74,1.53,2.87,3.00,2.54,,,
August,0.75,1.76,1.05,1.33,1.95,2.74,2.45,,,
September,1.33,3.97,3.55,0.22,0.96,1.69,0.13,,,
October,1.95,4.42,0.54,3.30,1.54,1.83,2.11,,,
November,2.91,2.47,2.89,2.10,0.52,0.55,0.56,,,
December,0.98,2.24,0.28,0.30,0.36,2.20,,,,
Total,19.93,28.41,20.61,19.20,13.60,20.70,,,,
,,,,,,,,,,
TYRain_1840-1849_D_pt2/189,,,,,,,,,,
,,,,,,,,,,
# Observer G.M.Williams uses a Brocklesby Park address in The Farmer's Magazine,,,,,,,,,,
#,,,,,,,,,,
# The grid reference is indicative - Brocklesby Park has extensive grounds and there is no detailed location information.,,,,,,,,,,
