DALMALLY (CRAIG),,,,,,,,,,
Grid ref,NN178276,Long,-4.954376,Lat,56.405393,Elevation,200,ft,,
Station no,5408/2/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.28,12.62,9.29,,3.57
February,,,,,,3.96,5.81,4.62,,5.23
March,,,,,,5.33,8.89,3.31,,2.38
April,,,,,,3.68,3.31,4.08,,7.66
May,,,,,,5.88,2.37,6.35,,4.59
June,,,,,,4.67,5.32,2.28,,4.14
July,,,,,,7.44,6.83,4.34,,4.82
August,,,,,,5.51,8.14,6.77,,5.24
September,,,,,,6.11,5.11,4.7,,4.03
October,,,,,,6.71,12.34,7.96,,2.95
November,,,,,,8.13,4.44,2.35,,8.06
December,,,,,,13.16,9.63,7.97,,9.27
Total,,,,,,76.86,84.81,64.02,,61.94
,,,,,,,,,,
1955 Estd Deleted,,,,,,,,,,
BR 1959 NP Low Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5408/2/1,,,,,,,,,
Midas,13935,,,,,,,,,
Hyd Stn,686717,,,,,,,,,
