HUDDERSFIELD DALTON - new gauge. Robson observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE158169,Long,-1.7611,Lat,53.6489,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.02,4.3,2.88,,,,3.01,1.95,4.32,0.95,4.89,3.09,0.86,0.24,0.28,3.9,5.29,5.75,1.81,5.77,1.76,1.16,1.35,4.46,2.24,2.46,1.33,4.14,4.45,1.18,3.53,2.11,5.86,4.03,1.88,2.11,3.27,3.13,1.19,4,1.27,3.22,2.21,4.05,0.85,4.03,2.59,2.19,3.94,2.73,2.34,2.33,4.67
February,,,,,,,,2.93,2.46,4.75,,,,0.86,1.1,1.47,3.01,2.62,0.95,2.36,2.96,4.09,2.41,2.11,1.57,3.21,0.37,0.63,0.97,1.81,1.02,0.14,3.35,3.8,6.23,0.49,1.7,3.69,4.14,1.47,4.96,1.17,1.19,3.45,4.21,1.52,2.45,1.92,2.13,1.82,2.83,3.35,1.94,1.08,2.28,3.78,5.41,0.85,4.44,2.05
March,,,,,,,,2.75,3.5,1.57,,,,2.19,3.22,0.67,4.11,3.24,1.56,1.86,2.85,4.59,2.37,1.2,1.68,1.62,3.01,1.59,3.99,3.17,2.28,1.82,1.24,0.86,3.34,2.33,4.68,5.01,1.87,1.95,1.04,3.05,1.45,4.3,2.02,3.09,2.74,2.54,3.21,3.03,0.4,1.26,3.09,4.47,3.02,1.03,4.75,2.67,1.28,5
April,,,,,,,,4.38,1.69,1.87,,,,0.63,1.56,0.94,2.14,2.74,1.41,2.89,1.87,1.16,4.4,3.04,1.73,1.82,2.79,0.97,2.31,3.99,1.23,1.81,1.18,0.96,2.55,2.68,1.99,2.98,3.53,2.67,1.65,1.82,1.78,1.69,2.13,1.71,0.93,1.57,1.8,2.49,2.66,1.23,0.76,3.4,1,1.36,1.72,2.46,1.12,1.4
May,,,,,,,,1.93,0.9,5.83,,,,1.82,1.34,1.57,1.05,3.65,4.38,1.73,2.84,1.19,1.13,0.9,1.69,1.72,5.74,2,0.64,3.36,2.96,3.11,3.74,1.83,2.23,0.76,0.48,1.28,3.96,4.35,1.59,1.45,2.68,3.2,3.15,0.82,2.33,3.58,2.11,1.98,2.49,2.2,3.29,2.44,1.36,2.37,2.12,2.72,2.89,1.49
June,,,,,,,,1.91,0.15,0.77,,,,0.93,0.7,2.98,2.97,1.74,2.67,4.57,2.86,1.42,4.06,3.74,0.9,3.46,1.06,0.26,2.34,0.57,2.19,3.02,4.13,2.12,3.09,5.43,3.1,5.38,3.44,2.53,2.86,0.88,1.36,1.53,0.86,1.82,1.42,3.75,1.6,3.33,3.92,2.77,4.14,1.23,2.76,2.21,1.75,1.69,1.77,0.58
July,,,,,,,,4,0.41,0.56,,,,2.44,1.81,6.67,2.09,2.73,1.03,3.23,5.58,2.48,3,3.2,2.6,0.88,4.41,1.35,4.4,3.01,2.15,2.82,2.02,3.99,3.87,7.06,1.76,0.97,1.37,1.58,2.82,3.42,1.83,2.32,4.53,1.39,1.48,2.15,3.33,3.01,2.36,0.44,3.83,1.1,2.8,4.14,1.66,1.23,3.46,3.08
August,,,,,,,,2.16,2.4,1.48,,,,2.38,2.26,3.58,2.09,4.02,6.83,4.18,1.71,4.33,1.68,2.02,1.33,1.08,1.07,1.67,2.25,3.22,4.54,5.35,3,1.92,2.9,2.14,1.85,2.94,4.33,1.71,5.38,1.29,2.74,3.5,4.28,3.76,1.93,1.85,2.49,2.2,3.97,2.02,5.67,1.24,1.95,3.55,2.14,5.48,1.64,2.8
September,,,,,,,,2.12,2.99,4.87,,,,2.63,2.42,3.65,4.73,3.73,3.02,1.57,4.38,2.8,1.64,5.68,2.19,2.57,1.54,2.61,0.79,1.5,1.26,2.56,2.33,1.6,0.78,0.92,7.35,4.14,0.36,7.48,0.56,0.72,2.04,4.15,0.49,1.52,0.61,0.44,2.57,1.82,0.11,2.73,1.31,2.35,1.73,0.67,1.02,0.8,10.56,1.15
October,,,,,,,,2.18,2.94,1.75,,,,3.12,3.56,4.8,2.84,3.91,3.07,1.56,6.33,4.47,3.69,4.67,1.51,5.91,5.22,2.67,1.17,4.68,1.5,4.83,8.35,2.27,5.06,4.11,5.52,2.42,5.85,4.56,3.2,2.04,2.77,8.29,0.74,2.38,5.62,5.92,1.25,2.97,2.59,2.55,3.67,2.88,1.83,1.43,5.17,4.46,2.42,2.22
