HUDDERSFIELD DALTON PORTLAND HO,,,,,,,,,,
Grid ref,SE122172,Long,-1.8159,Lat,53.652,Elevation,300,ft,,
Station no,RR431,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.72,0.86,4.33,,,,,,,
February,2.63,2.74,1.84,,,,,,,
March,0.46,1.19,3.11,,,,,,,
April,2.43,1.41,0.53,,,,,,,
May,2.45,1.52,3.53,,,,,,,
June,3.83,2.61,,,,,,,,
July,,0.21,,,,,,,,
August,,1.98,,,,,,,,
September,0.14,2.72,1.41,,,,,,,
October,2.28,2.37,3.82,,,,,,,
November,3.55,3.79,2.59,,,,,,,
December,,3.78,3.95,,,,,,,
Total,,25.18,,,,,,,,
,,,,,,,,,,
"NGR for Portland House, occupied by G Carlyle Steel, the observer.",,,,,,,,,,
"Elevation of 300' on record, however, does not match elevation on the ground at Portland house which is about 625'",,,,,,,,,,
