DERBY-DUFFIELD-ROAD-2ND-GAUGE,,,,,,,,,,
Grid ref,SK349368,Long,-1.4822901,Lat,52.92748,Elevation,184,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.28,3.48,1.45,0.87,1.98
February,,,,,,1.13,3.77,2.41,1.91,1.06
March,,,,,,3.09,2.08,1.83,2.37,1.99
April,,,,,,1.89,0.8,2.3,1.74,2.65
May,,,,,,0.79,2.26,7.2,3.85,2.88
June,,,,,,1.99,1.85,4.8,2.24,2.25
July,,,,,,1.28,0.93,4,2.89,4.54
August,,,,,,3.49,1.45,4.46,3.34,2.06
September,,,,,,1.8,1.12,0.78,2.47,3.08
October,,,,,,1.43,5.46,5.09,1.79,4.21
November,,,,,,2.75,4.22,3.38,1.98,
December,,,,,,0.9,2.82,4.64,1.78,
Total,,,,,,21.82,30.24,42.34,27.23,
,,,,,,,,,,
"NGR is is the southern end of Duffield Road, which has the right relationship to the church. The Observer, W G Copestake lived at 42 Duffield Road, which appears to be at this NGR Altitudes match. NGR could be +/- 100m. ",,,,,,,,,,
