DERBY-DUFFIELD-ROAD-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK349368,Long,-1.4822901,Lat,52.92748,Elevation,184,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.99,2.43,1.12,2.81,3.46,1.79,1.53,1.94,1.32,1.08,3.48,1.19,0.6,1.13,2.77,1.3,4.25,3.9,1.28,2.61,0.99,,,
February,,,,,,,0.61,3.21,1.31,1.11,4.16,1.05,1.5,1.01,3.6,0.54,3.02,1.9,1.44,0.7,2.03,1.47,1.07,0.93,1.35,2.48,4.05,,,
March,,,,,,,2.99,2.04,1.54,1.11,0.53,1.92,1.39,3.29,1.49,2.67,1.84,1.29,2.08,2.76,0.6,1.5,2.67,3.9,2.46,1.06,3.28,,,
April,,,,,,,0.88,1.88,1.45,2.43,1.01,1.58,2.11,1.12,1.77,1.34,0.57,1.76,1.75,2.08,2.32,1.37,0.16,3.28,0.76,0.9,1.58,,,
May,,,,,,,0.3,0.91,2.57,2.96,1.7,0.97,2.48,3.73,1.36,0.63,1.61,3.4,3.03,1.84,1.18,1.52,2.54,1.88,2.05,1.75,1.85,,,
June,,,,,,,1.33,3.39,1.54,2.6,3.16,0.91,2.3,1.27,0.86,1.86,1.57,3.5,1.79,2.09,1.21,2.8,5.32,1.35,2.03,1.7,1.35,,,
July,,,,,,3.74,1.7,0.29,1.04,2.69,3.64,4.07,1.28,2.22,2.2,1.03,0.56,2.8,2.52,3.28,2.52,0.1,3.5,0.33,5.19,6.3,1.91,,,
August,,,,,,2.78,1.55,1.91,2.21,0.9,4.96,1.82,2.86,4.97,2.79,2.85,1.36,3.41,3.34,2.28,3.3,0.65,5.77,2.25,2,1.65,1.75,,,
September,,,,,,0.52,3.37,2.46,0.34,2.82,0.53,0.87,1.41,2.62,1.38,1.55,1.12,0.73,2.98,2.17,0.57,1.45,0.87,1.8,1.32,0.91,0.6,,,
October,,,,,,2.45,2.19,0.88,2.72,2.72,2.73,1.75,2.5,5.25,0.98,1.14,5.46,3.53,1.04,3.14,2.2,2.44,3.28,2.51,2.52,1.75,1.83,,,
November,,,,,,3.13,1.07,1.58,2.19,1.28,2.36,1.75,1.57,2.09,1.26,2.45,2.84,2.11,1.29,,4.75,3.91,3.28,2.35,3.98,2.54,2.6,,,
December,,,,,,2.28,3.76,3.04,1.66,2.36,4.24,5.43,1.64,1.52,1.2,0.72,2.25,2.94,1.48,,5.09,3.12,2.98,1.15,5.5,4.18,2.57,,,
Total,,,,,,,20.74,24.02,19.69,25.79,32.48,23.91,22.57,31.03,20.21,17.86,25.68,28.56,23.34,,28.54,21.63,35.69,25.63,30.44,27.83,24.36,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is is the southern end of Duffield Road, which has the right relationship to the church. The Observer, W G Copestake lived at 42 Duffield Road, which appears to be at this NGR Altitudes match. NGR could be +/- 100m. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
