Rainfall at,OLDHAM BRUSHES CLOUGH
,
Station no,,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,3.59,1.10,5.33,4.49,4.65,5.72,2.23,6.37,4.79,1.25,
February,1.50,2.88,4.74,0.69,2.18,1.34,5.11,4.19,2.01,3.57,
March,2.78,1.08,3.44,2.91,4.37,0.95,4.75,4.10,2.55,2.10,
April,2.27,4.34,4.35,0.49,1.76,1.79,3.01,3.07,2.06,2.66,
May,1.84,1.63,2.89,2.65,1.94,2.99,1.29,4.32,4.23,2.35,
June,2.11,3.93,8.01,2.37,1.60,4.58,3.80,3.56,3.83,6.61,
July,1.20,4.23,7.54,5.32,2.44,5.57,3.82,5.86,1.14,6.01,
August,2.29,1.99,4.05,5.84,5.91,4.58,5.43,5.27,6.89,6.99,
September,3.75,5.28,7.16,2.87,5.28,7.41,6.11,4.71,5.24,3.20,
October,11.21,4.53,5.61,6.22,5.65,6.27,3.59,6.31,4.31,3.23,
November,3.11,1.29,5.96,3.31,4.68,5.75,4.73,7.48,2.72,2.22,
December,2.21,2.48,2.83,1.26,3.38,1.78,7.79,4.22,2.06,3.26,
Total,37.86,34.76,61.91,38.42,43.84,48.73,51.66,59.46,41.83,43.45,
Calc annual,37.86,34.76,61.91,38.42,43.84,48.73,51.66,59.46,41.83,43.45,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,
