LOCH TAY (ACHMORE BURN),,,,,,,,,,
Grid ref,NN588296,Long,-4.291687,Lat,56.437388,Elevation,1400,ft,,
Station no,5555/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.97,7.02
February,,,,,,,,,2.95,6.43
March,,,,,,,,,6.5,3.45
April,,,,,,,,,5.9,7.72
May,,,,,,,,,2.04,5.05
June,,,,,,,,,3.22,3.77
July,,,,,,,,,5,5.25
August,,,,,,,,,4.71,4.05
September,,,,,,,,,1.65,5.25
October,,,,,,,,,7.22,8.02
November,,,,,,,,,10.8,9.81
December,,,,,,,,,16.7,9.49
Total,,,,,,,,,69.66,75.31
,,,,,,,,,,
1954 - 58 Low Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5555/7,,,,,,,,,
Midas,15097,,,,,,,,,
Hyd Stn,861203,,,,,,,,,
