BRYNKINALT-WEIR,,,,,,,,,,
Grid ref,SJ295373,Long,-3.0502066,Lat,52.928458,Elevation,235,ft.,,
Station no,4286/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.45
February,,,,,,,,,0.4,4.29
March,,,,,,,,,2.17,1.78
April,,,,,,,,,4.68,1.53
May,,,,,,,,,2.7,2.98
June,,,,,,,,,,1.67
July,,,,,,,,,,3
August,,,,,,,,,0.36,4.6
September,,,,,,,,,0.49,4.44
October,,,,,,,,,2.43,6.03
November,,,,,,,,,4.61,6.68
December,,,,,,,,,7.42,3.15
Total,,,,,,,,,,46.6
,,,,,,,,,,
NGR is Brynkinalt Weir. Altitudes match.,,,,,,,,,,
"MIDAS src_id 11677, ends 1971",,,,,,,,,,
