BRAY-BRAIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU907794,Long,-0.69454965,Lat,51.506264,Elevation,75,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,782/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.51,0.7,,3.7,2.38,,,,,,,,,,,,,,,,,,,,3.02,2.48,2.28
February,,,,0.08,2.36,1.34,4.68,0.31,,,,,,,,,,,,,,,,,,,,3.03,0.09,1.99
March,,,2.29,2.14,0.31,1.48,2.92,0.24,,,,,,,,,,,,,,,,,,,,1.75,2.35,1.23
April,,,0.88,1.23,2.98,1.69,2.43,0,,,,,,,,,,,,,,,,,,,,1.27,2.8,0.46
May,,,1.85,0.4,1.48,,3.37,1.79,,,,,,,,,,,,,,,,,,,,1.83,0.61,1.66
June,,,1.35,1.2,3.48,2.27,2.22,0.44,,,,,,,,,,,,,,,,,,,,3.9,0.58,1.35
July,,,1.16,2.37,0.73,3.24,1.98,1.3,,,,,,,,,,,,,,,,,,,,2.11,3.48,3.94
August,,,0.47,2.56,1.56,0.53,3.21,1.69,,,,,,,,,,,,,,,,,,,,3.96,1.77,3.05
September,,,2.24,1.71,4.33,2.61,2.62,1.42,,,,,,,,,,,,,,,,,,,,4.23,0.03,3.26
October,,,1.41,1.17,2.46,,2.33,2.55,,,,,,,,,,,,,,,,,,,,3.6,2.59,6.76
November,,,1.02,2.24,4.51,3.98,1.18,2.63,,,,,,,,,,,,,,,,,,,,2.19,2.08,3.85
December,,,0.41,5.12,2.5,1.56,3.09,2.87,,,,,,,,,,,,,,,,,,,,2.99,3.6,2.45
Total,,,,21.73,27.4,,33.73,17.62,,,,,,,,,,,,,,,,,,,,33.88,22.46,32.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record which is near Braimel on River Gardens (NGR is actually SU907795).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The stated relationship to the church places the gauge 400m W where there may have been an earlier building called Braimel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not sure if the Braimel in River Gardens existed for the 1930s record but the observer is the same for both records and he may have moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
