LANGPORT-SANDPITS-HILL,,,,,,,,,,
Grid ref,ST402260,Long,-2.854132,Lat,51.030239,Elevation,150,ft,,
Station no,2072/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.8,3.11,2.15,2.08,3.17,3.04
February,,,,,1.89,0.16,3.63,3,0.38,2.62
March,,,,,0.99,0.53,2,0.52,3.39,1.86
April,,,,,0.9,1.71,0.1,0.57,2.74,2.34
May,,,,,3.6,0.5,2,1.99,0.98,1.2
June,,,,,2.25,1.45,3.34,3.19,0.78,1.04
July,,,,,1.15,2.3,2.58,2.7,1.45,5.02
August,,,,,1.06,3.31,2.72,3.38,0.9,4.46
September,,,,2.2,1.17,3.81,2.72,4.85,0.12,4.14
October,,,,1.75,1.3,1.72,2.42,1.95,3.6,9.01
November,,,,5.82,3.59,0.66,1.99,3.16,4.76,2.77
December,,,,2.48,4.6,3.25,2.8,3.57,5.71,3.03
Total,,,,,25.3,22.51,28.45,30.96,27.98,40.53
,,,,,,,,,,
1954 Aug 12 Gauge moved 0.5 mile W from Langport The Grange Stn No 2073/1,,,,,,,,,,
House unknown but NGR from sheet matches move from The Grange although a little low in elevation,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Sandpits Hill SRC_ID 9124,,,,,,,,,,
1954-1961,,,,,,,,,,
