WASHINGTON (SUNDERLAND),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ311565,Long,-1.5163,Lat,54.9028,Elevation,120,ft,,,,,,,,,,,,
Station no,RR1727,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,1.88,1.23,0.06,,3.24,,,,,,,,,
February,,,,,,,1.11,1.19,0.52,,1.26,,,,,,,,,
March,,,,,,,0.18,1.66,0.54,,1.02,,,,,,,,,
April,,,,,,,2.61,2.13,0.3,,0.85,,,,,,,,,
May,,,,,,,3.81,1.41,1.59,,2.2,,,,,,,,,
June,,,,,,,2.58,1.65,0.99,,3.86,,,,,,,,,
July,,,,,,,1.78,1.08,2.77,,2.94,,,,,,,,,
August,,,,,,,3.53,3.32,1.56,,2.33,,,,,,,,,
September,,,,,,,3.96,2.72,2.06,,1.87,,,,,,,,,
October,,,,,,,0.98,1.13,1.16,,1.8,,,,,,,,,
November,,,,,,,1.26,2.04,2.3,,2.7,,,,,,,,,
December,,,,,,,2.32,0.05,1.9,,3.54,,,,,,,,,
Total,,,,,,,26,19.61,15.75,,27.61,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer John Watson but not helpful as Watson a very common name in the area.,,,,,,,,,,,,,,,,,,,,
NGR for Old Hall in centre of Washington village although at 210' is higher than record suggests.,,,,,,,,,,,,,,,,,,,,
