LOCH OICH PORT MACDONELL,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 32300 01600,Long,-4.76813,Lat,57.07476,Elevation,115,ft,,,,,,,,,,,,,
Station no,5711,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,14.88,7.18,14.12,10.38,12.92,6.09,3.18,9.66,12.98,4.23,0.9
February,,,,,,,,,,,0.66,7.12,0.27,4.65,2.52,12.29,2.43,5.61,8.42,8.51,1.85
March,,,,,,,,,,,3.52,0.83,2.51,3.33,4.44,3.29,2.32,1.5,10.98,5.57,3.95
April,,,,,,,,,,,1.52,2.85,5.68,3.72,5.04,2.25,3.07,0.55,0.9,4.13,3.17
May,,,,,,,,,,,4.24,6.89,2.71,1.27,3.4,0.63,1.61,2.25,3.22,1.06,3.23
June,,,,,,,,,,,3.69,3.55,0.59,1.81,1.58,3.9,0.91,2.2,5.58,1.97,1.28
July,,,,,,,,,,,2.6,5.29,4.6,3.88,3.48,1.96,4.16,4.24,6.28,6.43,7.53
August,,,,,,,,,,,6.19,2.64,2.86,4.6,3.86,4.28,2.47,3.27,3.57,1.46,2.68
September,,,,,,,,,,3.61,6.87,1.27,5.65,1.24,6.64,8.84,2.8,5.87,3.71,1.89,3.05
October,,,,,,,,,,9.79,10.25,5.7,8.5,8.62,9.24,11.68,7.96,1.6,12.25,1.3,5.89
November,,,,,,,,,,8.8,7.57,8.78,10.83,2.03,1.51,6.13,3.96,0.8,12.38,9.04,5.05
December,,,,,,,,,,13.28,6.49,9.06,10.47,1.21,6.02,2.28,14.91,1.63,6.83,3.12,8.65
Total,,,,,,,,,,,68.48,61.16,68.79,46.74,60.65,63.62,49.78,39.18,87.1,48.71,47.23
,,,,,,,,,,,,,,,,,,,,,
Capt. W. N. McClean (River Flow Records),,,,,,,,,,,,,,,,,,,,,
http://nrfa.ceh.ac.uk/sites/default/files/The_McClean_Hydrometric_Data_Collection.pdf,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5711,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
