BOURNEMOUTH-MIX (SOUTHBOURNE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ137913,Long,-1.8063,Lat,50.7217,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.09,,1.41,4.14,0.82,2.52,1.03,2.19,2.92,2.19,3.58,3.24,1.16,0.7,3.27,,,,,,,,,,,,0.95,2.29,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.04,,1.54,3.92,3.42,3.68,1.47,3.55,2.54,3.38,0.67,0.9,0.73,1.58,0.59,,,,,,,,,,,,1.57,1.77,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.25,,1.51,0.62,0.9,2.46,0.61,0.72,2.54,1.62,2.61,1.06,2.94,2.18,0.76,,,,,,,,,,,,2.48,2.92,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.56,,2.57,2.19,1.94,0.47,3.81,0.81,1.89,1.06,2.24,0.81,1.07,2.29,2.69,,,,,,,,,,,,1.38,2.84,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.2,,3.08,1.45,0.53,0.97,1.24,2.2,1.02,3.51,4.32,1.85,1.77,1.37,1.95,,,,,,,,,,,,2.27,2.26,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.95,,1.2,4.21,1.94,1.36,3.17,2.12,2.76,2.52,0.4,0.72,2.87,0.85,2.33,,,,,,,,,,,,2.58,2.04,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.46,,1.02,2.72,2.92,1.23,2.25,3.11,2.32,0.29,2.82,0.48,2.76,2.22,2.9,,,,,,,,,,,,1.74,3.11,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.92,,3.36,4.75,1.14,4.03,1.9,0.69,1.36,0.43,0.91,2.07,1.29,2.75,2.24,,,,,,,,,,,,4.29,3.49,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.84,4.72,,2.53,3.69,3.33,1.68,2.24,5,1.7,3.76,2.33,3.07,1.44,0.77,1.72,,,,,,,,,,,3.05,1.75,2.16,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.26,2.02,,2.11,0.78,5.59,1.43,6.64,2.13,1.29,3.63,4.18,1.26,2.31,5.93,0.76,,,,,,,,,,,2.62,2.09,8.84,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
