"CALLIN, N UIST",,,,,,,,,,
Grid ref,NF 881 553,Long,-7.204548,Lat,57.480557,Elevation,0,ft,,
Station no,RR2375,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,0.68,,,,,,,,
May,,2.43,,,,,,,,
June,,1.98,,,,,,,,
July,,2.81,,,,,,,,
August,,5.85,,,,,,,,
September,,5.78,,,,,,,,
October,,3.4,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
HMS Woodlark summer base,,,,,,,,,,
see also Isle of Harris,,,,,,,,,,
Capt Fred W.L. Thomas,,,,,,,,,,
Callin now Ceallan,,,,,,,,,,
