"MARKINCH (COUL RES.)",,,,,,,,,,,,
Grid ref,NO270037,Long,-3.178765,Lat,56.220244,,,,,,,
Station no,5484/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,2.43,0.86,3.22,1.88,3.05,4.89,1.98,1.09,4.69,,
February,3.10,0.70,1.22,3.39,3.30,1.66,3.91,2.46,0.82,2.63,,
March,3.45,3.54,1.15,2.85,2.23,1.55,2.40,2.25,1.55,3.14,,
April,2.43,1.97,2.63,1.66,1.17,0.82,1.10,2.29,3.15,1.61,,
May,2.45,2.12,2.76,7.18,2.80,1.14,1.85,2.54,0.48,2.04,,
June,2.46,2.87,1.34,2.90,1.68,3.01,1.31,2.89,2.55,1.74,,
July,6.50,2.06,4.07,3.74,1.42,5.66,5.75,5.52,4.39,3.04,,
August,3.76,3.57,2.16,3.88,1.08,5.51,4.77,3.43,0.88,4.07,,
September,2.34,1.99,3.82,3.82,1.95,3.90,1.90,3.16,0.74,1.35,,
October,0.40,3.23,1.84,8.46,2.30,2.15,2.98,2.60,2.10,5.98,,
November,6.18,2.28,4.60,5.68,1.95,0.60,2.05,0.83,6.78,4.21,,
December,3.73,3.13,4.44,3.90,5.85,3.43,4.69,7.12,5.75,2.98,,
Total,41.37,29.89,30.89,50.68,27.61,32.48,37.60,37.07,30.28,37.48,,
Calc annual,41.37,29.89,30.89,50.68,27.61,32.48,37.60,37.07,30.28,37.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
