MALTON - EARLY,,,,,,,,
Grid ref,SE787717,Long,-0.797,Lat,54.135,Elevation,80,ft
Station no,RR1738,,,,,,,
,,,,,,,,
,1736,1737,1738,1739,1740,1741,1742,
January,,2.539,2.235,1.854,,,1.020,
February,,1.283,3.453,1.793,,0.645,0.430,
March,,2.044,1.915,2.451,0.504,0.420,,
April,2.100,1.578,4.400,0.205,0.548,0.950,,
May,2.615,1.730,3.351,0.802,3.400,0.207,,
June,0.181,2.322,3.400,1.100,2.402,2.190,,
July,1.968,2.658,3.823,0.504,3.543,0.830,,
August,2.247,3.301,2.840,1.342,0.842,,,
September,2.500,1.285,3.742,5.924,3.145,,,
October,3.529,3.742,3.630,4.498,4.300,,,
November,2.896,2.742,3.856,4.000,2.500,,,
December,4.000,2.165,3.000,,,,,
Total,,27.389,39.645,,,,,
,,,,,,,,
TYRain_1677-1886_A_pt1/096,,,,,,,,
,,,,,,,,
# The non-standard rainfall sheet spans two decades.,,,,,,,,
#,,,,,,,,
"# There is no detailed location information, the grid reference is central Malton.",,,,,,,,
#,,,,,,,,
"# The readings originate from Thomas Short's 1750 'New Observations on Bills of Mortality', page 332.",,,,,,,,
"# The rainfall sheet says 'Essex', but this is wrong - Malton in Yorkshire is the location - see page 356.",,,,,,,,
