BIGGAR (SHIELDHILL NG on lawn),,,,,,,,,,
Grid ref,NT006404,Long,-3.580991,Lat,55.646939,Elevation,800,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,4.31,1.9,3.8,4.62,,3.78,1.47
February,,,,0.27,4.15,2.72,3.54,,3.9,0.64
March,,,,2.95,1.29,1.16,1.6,,2.55,3.54
April,,,,3.22,3.01,1.33,1.07,,1.39,2.43
May,,,,2.77,0.96,0.5,1.42,,0.73,2.8
June,,,,1.93,2.55,1.74,1.69,,1.5,0.64
July,,,,2.95,1.01,2.88,4.65,,3.87,5.8
August,,,,3.28,1.58,1.58,4.42,,0.93,1.41
September,,,,3.12,3.95,3.74,1.94,,0.22,4.88
October,,,,5.9,6.7,3.5,3.8,,1.59,3
November,,,,1.33,4.45,3.85,0.59,,6.57,3.61
December,,,,4.14,1.62,4.08,2.8,,1.63,4.12
Total,,,,36.17,33.17,30.88,32.14,,28.66,34.34
,,,,,,,,,,
All of these years are NP,,,,,,,,,,
But a check gauge?,,,,,,,,,,
