SPALDING - ELMTREE FARM,,,,,,,,,,,,,,,,
Grid ref,TF275184,Long,-0.113,Lat,52.748,Elevation,10,ft,,,,,,,,
Station no,2525/4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.94,0.93,1.29,3.06,1.15,0.72,1.77,1.34,0.88,1.13,1.67,4.08,0.82,2.03,2.36,3.29
February,1.37,2.03,1.63,0.49,0.53,2.48,2.36,0.33,1.25,1.86,2.55,0.83,2.26,2.77,0.11,1.97
March,0.51,0.71,3.48,0.55,0.71,0.38,3.35,2.12,0.60,1.74,1.73,0.66,1.89,1.15,1.95,1.17
April,0.73,1.37,1.42,0.93,1.72,1.78,2.05,1.66,1.35,0.35,0.90,0.95,0.19,0.60,0.95,0.23
May,1.66,0.83,0.24,3.27,2.02,2.55,2.88,2.29,2.04,3.27,2.66,1.03,1.47,2.31,0.57,0.61
June,1.47,1.78,2.52,2.69,0.66,1.32,0.62,1.07,3.65,2.80,2.51,2.28,2.07,3.92,1.00,1.37
July,1.09,2.13,1.52,0.83,1.38,2.29,1.13,0.25,1.63,2.18,0.30,3.01,2.36,3.27,2.48,2.99
August,2.65,2.98,0.08,2.80,1.56,2.16,3.55,2.35,2.49,3.68,1.15,3.89,1.95,2.54,1.27,2.14
September,1.36,2.44,0.81,2.33,0.85,2.40,1.28,2.23,1.11,2.13,0.93,1.36,3.41,2.61,0.23,3.18
October,1.67,1.74,0.20,2.10,2.74,0.49,1.09,1.75,2.14,2.25,1.39,0.97,0.97,1.52,0.93,3.97
November,0.72,3.76,0.76,1.52,2.13,3.25,2.67,2.26,1.51,3.99,1.07,0.62,1.54,1.29,1.20,3.17
December,1.75,1.75,1.45,1.78,0.98,1.12,1.10,1.48,0.65,1.78,1.28,1.43,2.07,2.22,3.17,3.18
Total,16.92,22.45,15.40,22.35,16.43,20.94,23.85,19.13,19.30,27.16,18.14,21.11,21.00,26.23,16.22,27.27
,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/159,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/156,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"# The gauge came from Woodcroft House, Weston St Mary in 1945.",,,,,,,,,,,,,,,,
# The 1940s rainfall sheet is shared with the Woodcroft House site.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The map shows the property name as Elmtree Farm rather than Elm House used on the rainfall sheet.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The station continued until 1981 according to MIDAS.,,,,,,,,,,,,,,,,
