"SCOTS GAP, ROSHLEY CRAG, NORTHUMBERLAND",,,,,,,,,,,,
Grid ref,NZ044884,Long,-1.932433,Lat,55.189860,,,,,,,
Station no,RR4824,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,2.77,1.35,3.35,2.13,0.40,,,,,,
February,5.21,2.26,1.57,2.54,2.38,1.02,,,,,,
March,1.97,2.71,1.24,1.50,1.54,2.41,,,,,,
April,2.03,1.04,1.45,1.86,2.00,2.47,,,,,,
May,1.48,3.19,2.56,2.27,2.47,1.98,,,,,,
June,3.55,1.50,2.82,2.31,2.28,2.61,,,,,,
July,1.64,2.45,2.66,5.10,1.50,0.87,,,,,,
August,4.62,2.86,1.80,2.81,2.43,4.45,,,,,,
September,1.37,1.24,1.15,2.61,1.36,2.69,,,,,,
October,6.02,2.18,2.45,8.69,0.67,3.25,,,,,,
November,4.94,5.82,2.22,2.04,2.14,4.93,,,,,,
December,3.08,3.31,5.22,3.94,1.47,1.04,,,,,,
Total,39.85,31.33,26.49,39.02,22.37,28.12,,,,,,
Calc annual,39.85,31.33,26.49,39.02,22.37,28.12,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
