MOULSFORD-THE-OLD-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU589839,Long,-1.1519174,Lat,51.550924,Elevation,170,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,810/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.49,3.76,4.49,2.7,4.71,2.63,2.11,2.83,4.28,1.22,1.38,1.72,2.01,5.73,1.43,0.73,3.44,1.31,0.57,0.81,,,,,,
February,,,,,2.22,2.02,4.08,0.52,1.02,1.49,2,0.66,1.19,0.97,2.26,1.91,1.2,0.8,1.22,4.91,5.65,0.65,1.66,2.52,,,,,,
March,,,,,0.32,1.72,3.7,0.22,1.5,2.19,2.49,2.12,0.55,0.2,0.99,1.04,4.89,0.67,1.5,0.87,3.96,1.81,0.36,2.54,,,,,,
April,,,,,3.79,1.52,2.68,0.07,3.03,1.41,0.94,1.56,0.93,1.26,1.3,2.28,2.04,1.61,1.54,2.1,2.79,1.19,2.14,0.26,,,,,,
May,,,,,0.99,0.61,3.75,2.09,1.66,1.24,2.21,3.05,2.21,0.62,2.15,4.34,1.5,3.62,1.99,2.3,3,3.63,1.65,2.86,,,,,,
June,,,,,3.1,3.51,2.63,0.63,1.47,0.8,2.52,0.23,1.31,2.06,2.1,2.01,1.34,2.36,0.36,3.47,1.27,1.38,1.43,4.54,,,,,,
July,,,,,0.35,3.42,1.09,1.31,4.5,3.04,4.44,2.1,1.63,1.78,2.55,0.98,2.52,1.12,0.53,3.7,0.99,0.39,2.38,1.97,,,,,,
August,,,,,2.08,2.72,2.26,4.13,1.75,0.21,2.9,2.31,1.48,1.15,0.92,3.36,0.42,3.53,0.9,3.24,2.57,4.83,1.95,3.71,,,,,,
September,,,,,4.06,2.82,2.55,1.32,0.73,0.86,0.27,0.95,1.31,2.53,1.94,5.01,1.22,2.69,2.22,4.05,2.94,2.12,1.57,1.83,,,,,,
October,,,,,3.42,1.8,2.57,3,4.76,3.1,1.16,3.54,3.86,3.95,3.44,1.06,0.46,2.61,7.86,0.56,1.03,3.97,3.14,1.9,,,,,,
November,,,,,3.81,3.3,1.43,3.31,4.76,7.59,3.11,1.9,1.24,4.44,0.18,5.57,1.17,1.69,3.29,5.71,6.94,3.01,1.93,5.73,,,,,,
December,,,,,2.82,2.22,2.3,3.11,1.16,1.28,1.1,3.54,1.49,1.74,3.41,2.14,2.34,4.24,1.35,1.2,2.25,2.03,0.49,2.56,,,,,,
Total,,,,,27.45,29.42,33.53,22.41,31.05,25.84,25.25,24.79,21.48,21.92,22.62,31.42,21.11,30.67,24.19,32.84,36.83,26.32,19.27,31.23,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage at Moulsford. Altitudes match. The 1950s record has the NGR as SU590837, about 300m South but there is no evidence that the vicarage was ever at this location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
